ERR1456828.100	-	Bacteria	domain	0.96	"Actinobacteria"	phylum	0.57	Actinobacteria	class	0.57	Actinomycetales	order	0.5	Pseudonocardiaceae	family	0.26	Sciscionella	genus	0.25
ERR1456828.200	-	Bacteria	domain	0.9	Firmicutes	phylum	0.62	Bacilli	class	0.53	Bacillales	order	0.53	Bacillaceae 2	family	0.42	Melghiribacillus	genus	0.27
ERR1456828.300	-	Bacteria	domain	0.86	"Chloroflexi"	phylum	0.42	Ardenticatenia	class	0.12	Ardenticatenales	order	0.12	Ardenticatenaceae	family	0.12	Ardenticatena	genus	0.12
ERR1456828.400	-	Bacteria	domain	0.87	Firmicutes	phylum	0.16	Clostridia	class	0.09	Thermoanaerobacterales	order	0.07	Thermoanaerobacteraceae	family	0.07	Brockia	genus	0.05
ERR1456828.500	-	Bacteria	domain	0.95	"Chloroflexi"	phylum	0.39	Anaerolineae	class	0.1	Anaerolineales	order	0.1	Anaerolineaceae	family	0.1	Ornatilinea	genus	0.06
ERR1456828.600	-	Bacteria	domain	0.99	"Acidobacteria"	phylum	0.26	Acidobacteria_Gp3	class	0.25	Candidatus Solibacter	order	0.2	Candidatus Solibacter	family	0.2	Candidatus Solibacter	genus	0.2
ERR1456828.700	-	Bacteria	domain	0.98	Firmicutes	phylum	0.27	Bacilli	class	0.14	Bacillales	order	0.14	Paenibacillaceae 1	family	0.05	Ammoniibacillus	genus	0.05
ERR1456828.800	-	Bacteria	domain	1.0	"Acidobacteria"	phylum	0.73	Acidobacteria_Gp1	class	0.73	Candidatus Koribacter	order	0.6	Candidatus Koribacter	family	0.6	Candidatus Koribacter	genus	0.6
ERR1456828.900	-	Bacteria	domain	0.99	"Actinobacteria"	phylum	0.78	Actinobacteria	class	0.78	Actinomycetales	order	0.71	Nocardiopsaceae	family	0.33	Salinactinospora	genus	0.23
ERR1456828.1000	-	Bacteria	domain	0.69	"Actinobacteria"	phylum	0.15	Actinobacteria	class	0.15	Actinomycetales	order	0.14	Cellulomonadaceae	family	0.01	Tropheryma	genus	0.01
ERR1456828.1100	-	Bacteria	domain	0.94	"Acidobacteria"	phylum	0.46	Acidobacteria_Gp1	class	0.44	Candidatus Koribacter	order	0.3	Candidatus Koribacter	family	0.3	Candidatus Koribacter	genus	0.3
ERR1456828.1200	-	Bacteria	domain	0.98	Firmicutes	phylum	0.55	Bacilli	class	0.51	Bacillales	order	0.51	Alicyclobacillaceae	family	0.47	Tumebacillus	genus	0.44
ERR1456828.1300	-	Bacteria	domain	0.92	"Actinobacteria"	phylum	0.3	Thermoleophilia	class	0.1	Thermoleophilales	order	0.1	Thermoleophilaceae	family	0.1	Thermoleophilum	genus	0.1
ERR1456828.1400	-	Bacteria	domain	1.0	"Bacteroidetes"	phylum	0.99	Sphingobacteriia	class	0.99	"Sphingobacteriales"	order	0.99	Chitinophagaceae	family	0.99	Flavisolibacter	genus	0.76
ERR1456828.1500	-	Bacteria	domain	0.99	Firmicutes	phylum	0.89	Bacilli	class	0.86	Bacillales	order	0.85	Bacillaceae 1	family	0.49	Falsibacillus	genus	0.43
ERR1456828.1600	-	Bacteria	domain	0.96	Firmicutes	phylum	0.71	Bacilli	class	0.53	Bacillales	order	0.5	Bacillaceae 1	family	0.31	Falsibacillus	genus	0.28
ERR1456828.1700	-	Bacteria	domain	1.0	"Acidobacteria"	phylum	0.54	Acidobacteria_Gp1	class	0.44	Acidipila	order	0.23	Acidipila	family	0.23	Acidipila	genus	0.23
ERR1456828.1800	-	Bacteria	domain	0.94	"Chloroflexi"	phylum	0.23	Thermoflexia	class	0.06	Thermoflexales	order	0.06	Thermoflexaceae	family	0.06	Thermoflexus	genus	0.06
ERR1456828.1900	-	Bacteria	domain	0.96	"Chloroflexi"	phylum	0.52	Ktedonobacteria	class	0.46	Ktedonobacterales	order	0.44	Ktedonobacteraceae	family	0.44	Ktedonobacter	genus	0.44
ERR1456828.2000	-	Bacteria	domain	0.87	Firmicutes	phylum	0.46	Bacilli	class	0.2	Bacillales	order	0.16	Planococcaceae	family	0.09	Filibacter	genus	0.04
ERR1456828.2100	-	Bacteria	domain	0.97	"Proteobacteria"	phylum	0.94	Alphaproteobacteria	class	0.93	Rhizobiales	order	0.76	Brucellaceae	family	0.63	Daeguia	genus	0.4
ERR1456828.2200	-	Bacteria	domain	0.97	"Acidobacteria"	phylum	0.4	Acidobacteria_Gp1	class	0.38	Candidatus Koribacter	order	0.23	Candidatus Koribacter	family	0.23	Candidatus Koribacter	genus	0.23
ERR1456828.2300	-	Bacteria	domain	0.93	Firmicutes	phylum	0.42	Bacilli	class	0.26	Bacillales	order	0.24	Planococcaceae	family	0.1	Filibacter	genus	0.04
ERR1456828.2400	-	Bacteria	domain	0.73	"Proteobacteria"	phylum	0.43	Betaproteobacteria	class	0.36	Burkholderiales	order	0.18	Alcaligenaceae	family	0.13	Basilea	genus	0.12
ERR1456828.2500	-	Bacteria	domain	0.92	Firmicutes	phylum	0.41	Bacilli	class	0.17	Bacillales	order	0.17	Thermoactinomycetaceae 2	family	0.02	Polycladomyces	genus	0.02
ERR1456828.2600	-	Bacteria	domain	0.93	"Planctomycetes"	phylum	0.54	Planctomycetia	class	0.54	Planctomycetales	order	0.5	Planctomycetaceae	family	0.5	Gemmata	genus	0.45
ERR1456828.2700	-	Bacteria	domain	0.94	"Proteobacteria"	phylum	0.81	Alphaproteobacteria	class	0.76	Rhizobiales	order	0.67	Bradyrhizobiaceae	family	0.28	Tardiphaga	genus	0.23
ERR1456828.2800	-	Bacteria	domain	0.99	"Acidobacteria"	phylum	0.93	Acidobacteria_Gp3	class	0.93	Candidatus Solibacter	order	0.93	Candidatus Solibacter	family	0.93	Candidatus Solibacter	genus	0.93
ERR1456828.2900	-	Bacteria	domain	0.81	"Actinobacteria"	phylum	0.57	Actinobacteria	class	0.57	Actinomycetales	order	0.52	Allonocardiopsis	family	0.12	Allonocardiopsis	genus	0.12
ERR1456828.3000	-	Bacteria	domain	1.0	"Proteobacteria"	phylum	0.98	Betaproteobacteria	class	0.96	Burkholderiales	order	0.8	Oxalobacteraceae	family	0.74	Rugamonas	genus	0.66
ERR1456828.3100	-	Bacteria	domain	0.92	"Actinobacteria"	phylum	0.21	Actinobacteria	class	0.18	Acidimicrobiales	order	0.05	"Acidimicrobineae"_incertae_sedis	family	0.05	Aciditerrimonas	genus	0.05
ERR1456828.3200	-	Bacteria	domain	0.99	"Actinobacteria"	phylum	0.54	Actinobacteria	class	0.49	Gaiellales	order	0.41	Gaiellaceae	family	0.41	Gaiella	genus	0.41
ERR1456828.3300	-	Bacteria	domain	0.99	"Verrucomicrobia"	phylum	0.32	Opitutae	class	0.24	Opitutales	order	0.23	Opitutaceae	family	0.23	Alterococcus	genus	0.23
ERR1456828.3400	-	Bacteria	domain	1.0	"Acidobacteria"	phylum	0.56	Acidobacteria_Gp1	class	0.55	Candidatus Koribacter	order	0.53	Candidatus Koribacter	family	0.53	Candidatus Koribacter	genus	0.53
ERR1456828.3500	-	Archaea	domain	0.14	Woesearchaeota	phylum	0.09	Woesearchaeota Incertae Sedis AR17	class	0.08	Woesearchaeota Incertae Sedis AR17	order	0.08	Woesearchaeota Incertae Sedis AR17	family	0.08	Woesearchaeota Incertae Sedis AR17	genus	0.08
ERR1456828.3600	-	Bacteria	domain	0.96	"Actinobacteria"	phylum	0.22	Thermoleophilia	class	0.1	Thermoleophilales	order	0.1	Thermoleophilaceae	family	0.1	Thermoleophilum	genus	0.1
ERR1456828.3700	-	Bacteria	domain	0.97	Firmicutes	phylum	0.59	Bacilli	class	0.42	Bacillales	order	0.32	Planococcaceae	family	0.19	Filibacter	genus	0.16
ERR1456828.3800	-	Bacteria	domain	0.99	"Proteobacteria"	phylum	0.86	Alphaproteobacteria	class	0.82	Rhizobiales	order	0.64	Beijerinckiaceae	family	0.27	Methylovirgula	genus	0.25
ERR1456828.3900	-	Bacteria	domain	0.97	"Chloroflexi"	phylum	0.77	Ktedonobacteria	class	0.73	Ktedonobacterales	order	0.73	Ktedonobacteraceae	family	0.71	Ktedonobacter	genus	0.71
ERR1456828.4000	-	Bacteria	domain	0.98	"Acidobacteria"	phylum	0.47	Acidobacteria_Gp1	class	0.44	Candidatus Koribacter	order	0.13	Candidatus Koribacter	family	0.13	Candidatus Koribacter	genus	0.13
ERR1456828.4100	-	Bacteria	domain	1.0	Firmicutes	phylum	0.53	Bacilli	class	0.35	Bacillales	order	0.35	Bacillaceae 2	family	0.28	Tuberibacillus	genus	0.17
ERR1456828.4200	-	Bacteria	domain	0.95	"Acidobacteria"	phylum	0.34	Acidobacteria_Gp4	class	0.29	Blastocatella	order	0.28	Blastocatella	family	0.28	Blastocatella	genus	0.28
ERR1456828.4300	-	Bacteria	domain	0.72	Firmicutes	phylum	0.2	Erysipelotrichia	class	0.12	Erysipelotrichales	order	0.12	Erysipelotrichaceae	family	0.12	Holdemania	genus	0.05
ERR1456828.4400	-	Bacteria	domain	0.93	Firmicutes	phylum	0.29	Bacilli	class	0.15	Bacillales	order	0.08	Planococcaceae	family	0.03	Filibacter	genus	0.0
ERR1456828.4500	-	Bacteria	domain	0.98	"Proteobacteria"	phylum	0.66	Alphaproteobacteria	class	0.6	Sphingomonadales	order	0.34	Sphingomonadaceae	family	0.29	Rhizorhabdus	genus	0.08
ERR1456828.4600	-	Bacteria	domain	0.93	"Planctomycetes"	phylum	0.18	Planctomycetia	class	0.17	Planctomycetales	order	0.17	Planctomycetaceae	family	0.17	Telmatocola	genus	0.11
